2026-01-09 23:24:57,967 | INFO | scheduler | Планувальник запущено
2026-01-09 23:24:58,014 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-09 23:29:46,686 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:29:48,233 | INFO | screenshot | Скріншот збережено: C:\Work\camera_app\static\screenshots\snap_1767994188.jpg
2026-01-09 23:37:44,871 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:37:55,810 | INFO | recorder | Запис завершено (248 кадрів): C:\Work\camera_app\static\recordings\record_1767994664.avi
2026-01-09 23:43:09,718 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:43:11,105 | INFO | screenshot | Скріншот збережено: C:\Work\camera_app\static\screenshots\snap_1767994991.jpg
2026-01-09 23:43:24,018 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:43:34,385 | INFO | recorder | Запис завершено (248 кадрів): C:\Work\camera_app\static\recordings\record_1767995004.avi
2026-01-09 23:49:38,858 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:49:49,271 | INFO | recorder | Запис завершено (254 кадрів): C:\Work\camera_app\static\recordings\record_1767995378.avi
2026-01-09 23:49:51,549 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:49:52,874 | INFO | screenshot | Скріншот збережено: C:\Work\camera_app\static\screenshots\snap_1767995392.jpg
2026-01-09 23:51:41,553 | INFO | camera_source | Камеру відкрито (rtsp=False)
2026-01-09 23:51:51,954 | INFO | recorder | Запис завершено (251 кадрів): C:\Work\camera_app\static\recordings\record_1767995501.avi
2026-01-09 23:52:55,524 | INFO | scheduler | Планувальник запущено
2026-01-09 23:52:55,532 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-09 23:53:10,996 | INFO | app | Запит на відеопотік (rtsp=False)
2026-01-09 23:53:10,998 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-09 23:53:11,911 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-09 23:54:09,968 | INFO | app | Запит на відеопотік (rtsp=False)
2026-01-09 23:54:09,968 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-09 23:54:10,398 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:17:39,084 | INFO | scheduler | Планувальник запущено
2026-01-10 10:17:39,133 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 10:23:03,923 | INFO | scheduler | Планувальник запущено
2026-01-10 10:23:03,923 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 10:26:33,910 | INFO | scheduler | Планувальник запущено
2026-01-10 10:26:33,910 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 10:26:51,588 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 10:26:53,143 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:27:18,306 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 10:27:18,487 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:27:18,505 | WARNING | live_stream | Кадр не зчитано — зупиняю потік
2026-01-10 10:27:18,567 | INFO | live_stream | MJPEG‑потік завершено
2026-01-10 10:27:18,955 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768033638.jpg
2026-01-10 10:41:23,450 | INFO | scheduler | Планувальник запущено
2026-01-10 10:41:23,450 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 10:41:52,462 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 10:41:53,758 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:42:08,497 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 10:42:08,596 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:42:10,948 | WARNING | live_stream | Кадр не зчитано — зупиняю потік
2026-01-10 10:42:11,027 | INFO | live_stream | MJPEG‑потік завершено
2026-01-10 10:42:16,263 | INFO | recorder | Запис збережено: static\recordings\recording_1768034528.avi
2026-01-10 10:42:25,072 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 10:42:25,269 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:42:30,610 | INFO | recorder | Запис збережено: static\recordings\recording_1768034545.avi
2026-01-10 10:42:37,147 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 10:42:37,339 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 10:42:38,828 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768034558.jpg
2026-01-10 11:31:08,863 | INFO | scheduler | Планувальник запущено
2026-01-10 11:31:08,863 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 11:32:18,595 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:32:19,959 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:32:25,107 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:32:25,214 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:32:25,304 | WARNING | live_stream | Кадр не зчитано — зупиняю потік
2026-01-10 11:32:25,313 | INFO | live_stream | MJPEG‑потік завершено
2026-01-10 11:32:30,630 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768037545.avi
2026-01-10 11:32:35,964 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:32:36,156 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:32:41,528 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768037556.avi
2026-01-10 11:32:47,381 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:32:47,598 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:32:52,912 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768037567.avi
2026-01-10 11:34:26,751 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:34:27,314 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:34:34,822 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:34:34,953 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:34:34,970 | WARNING | live_stream | Кадр не зчитано — зупиняю потік
2026-01-10 11:34:35,012 | INFO | live_stream | MJPEG‑потік завершено
2026-01-10 11:34:35,402 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768037675.jpg
2026-01-10 11:37:20,878 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:37:21,367 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:37:26,691 | INFO | camera_source | Відкриваю RTSP камеру: rtsp://user:password@IP:554/stream
2026-01-10 11:37:38,792 | ERROR | camera_source | Не вдалося відкрити камеру (rtsp=True)
2026-01-10 11:37:38,792 | ERROR | recorder | Не вдалося відкрити камеру для запису
2026-01-10 11:38:40,219 | INFO | camera_source | Відкриваю RTSP камеру: rtsp://user:password@IP:554/stream
2026-01-10 11:38:51,786 | ERROR | camera_source | Не вдалося відкрити камеру (rtsp=True)
2026-01-10 11:38:51,786 | ERROR | recorder | Не вдалося відкрити камеру для запису
2026-01-10 11:38:51,849 | INFO | camera_source | Відкриваю RTSP камеру: rtsp://user:password@IP:554/stream
2026-01-10 11:39:03,714 | ERROR | camera_source | Не вдалося відкрити камеру (rtsp=True)
2026-01-10 11:39:03,714 | ERROR | recorder | Не вдалося відкрити камеру для запису
2026-01-10 11:41:05,445 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 11:41:05,957 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 11:56:08,501 | INFO | frame_grabber | Frame grabber запущено
�у камеру: index=0
2026-01-10 11:56:08,517 | INFO | scheduler | Планувальник запущено
2026-01-10 11:56:08,517 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 11:56:09,658 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:00:07,030 | INFO | scheduler | Планувальник запущено
2026-01-10 12:00:07,030 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:00:21,735 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:00:21,735 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:00:24,501 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:04:17,693 | INFO | scheduler | Планувальник запущено
2026-01-10 12:04:17,693 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:08:13,850 | INFO | scheduler | Планувальник запущено
2026-01-10 12:08:13,866 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:09:05,737 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:09:05,736 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:09:07,396 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:09:36,749 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768039771.avi
2026-01-10 12:09:37,881 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:09:38,608 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:09:39,545 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768039779.jpg
2026-01-10 12:09:43,197 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:09:43,491 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:09:45,093 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768039785.jpg
2026-01-10 12:09:47,280 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:09:47,580 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:09:49,216 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768039789.jpg
2026-01-10 12:09:57,241 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768039792.avi
2026-01-10 12:10:02,340 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768039797.avi
2026-01-10 12:10:07,477 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768039802.avi
2026-01-10 12:18:27,301 | INFO | scheduler | Планувальник запущено
2026-01-10 12:18:27,317 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:18:43,686 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:18:43,686 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:18:46,945 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:20:09,089 | INFO | scheduler | Планувальник запущено
2026-01-10 12:20:09,089 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:20:21,816 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:20:21,816 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:20:23,035 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:20:29,372 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:23:00,172 | INFO | scheduler | Планувальник запущено
2026-01-10 12:23:00,172 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:23:11,493 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:23:11,493 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:23:13,320 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:23:24,399 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:28:51,435 | INFO | scheduler | Планувальник запущено
